epoch,step,min,max,mean,std
1,10000,-0.016397327184677124,0.015291961841285229,-0.000474756583571434,0.005025407765060663
2,20000,-0.013179522939026356,0.00986927468329668,-8.992907532956451e-05,0.003728903830051422
3,30000,-0.035792168229818344,0.03154435753822327,-0.0026160618290305138,0.013282611966133118
4,40000,-0.02278432622551918,0.020284270867705345,-0.0017638010904192924,0.009271536022424698
5,50000,-0.05062226951122284,0.052256058901548386,-0.001398296095430851,0.019243085756897926
6,60000,-0.1017836481332779,0.08429188281297684,-0.0011670964304357767,0.03939048945903778
7,70000,-0.06318117678165436,0.06671331077814102,0.0035906247794628143,0.02502128854393959
8,80000,-0.05939377099275589,0.05702472850680351,-0.003109372453764081,0.024982456117868423
