epoch,step,min,max,mean,std
1,10000,-0.004950587172061205,0.0054754698649048805,-3.434273094171658e-05,0.000544917187653482
2,20000,-0.0035016220062971115,0.0038521564565598965,-3.2127431040862575e-05,0.0005901765543967485
3,30000,-0.01073755044490099,0.008904908783733845,-0.00014659253065474331,0.0011479291133582592
4,40000,-0.009516088292002678,0.0068869562819600105,-0.00010934074816759676,0.0010204104473814368
5,50000,-0.02253168448805809,0.024288896471261978,-7.986678247107193e-05,0.001932386658154428
6,60000,-0.0464659109711647,0.041071344166994095,-7.444845687132329e-05,0.003462165128439665
7,70000,-0.02811092883348465,0.02913062274456024,0.00025753112277016044,0.0025840699672698975
8,80000,-0.02392672747373581,0.020300770178437233,-0.0002023101842496544,0.0024631803389638662
