epoch,step,min,max,mean,std
1,10000,-0.039376769214868546,0.028852667659521103,6.703892267978517e-06,0.0011833312455564737
2,20000,-0.15870243310928345,0.11646140366792679,-4.049776543979533e-05,0.004157629795372486
3,30000,-0.18363061547279358,0.1587301641702652,-3.869701686198823e-06,0.0063997963443398476
4,40000,-0.22073960304260254,0.25150156021118164,-4.119204095331952e-05,0.00812112633138895
5,50000,-0.49964702129364014,0.4118102788925171,-4.31508851761464e-05,0.014266538433730602
6,60000,-0.5941979885101318,0.5491041541099548,-3.408623160794377e-05,0.021662889048457146
7,70000,-0.5259149074554443,0.5047959089279175,7.182021818152862e-06,0.01738988235592842
8,80000,-0.3993696868419647,0.39029377698898315,-0.00012865012104157358,0.019660143181681633
