epoch,step,min,max,mean,std
1,10000,-0.007870107889175415,0.006717734970152378,-1.0906766874541063e-05,0.0003763082204386592
2,20000,-0.04108855500817299,0.03287931904196739,2.1206537894613575e-06,0.0011992109939455986
3,30000,-0.060995861887931824,0.0920962318778038,-1.2978282939002384e-05,0.002512103645130992
4,40000,-0.08701521903276443,0.08954223990440369,-1.0718850717239548e-05,0.003447936614975333
5,50000,-0.19273477792739868,0.10747206211090088,-7.027651463431539e-06,0.0047081285156309605
