epoch,step,min,max,mean,std
1,10000,-0.04555147886276245,0.03819533810019493,-0.00175357679836452,0.025852905586361885
2,20000,-0.043242551386356354,0.032503049820661545,0.0016839751042425632,0.02332080714404583
3,30000,-0.024342607706785202,0.03356992453336716,0.0027830416802316904,0.01798085868358612
4,40000,-0.04488666355609894,0.06326687335968018,-0.00036251687561161816,0.027941951528191566
5,50000,-0.046673815697431564,0.050572820007801056,0.002750896383076906,0.02931222692131996
6,60000,-0.030799616128206253,0.024841176345944405,0.0002286851085955277,0.01455767173320055
7,70000,-0.06066667288541794,0.052337732166051865,0.0012087724171578884,0.03184043988585472
8,80000,-0.03297053277492523,0.04438097029924393,0.004111609887331724,0.021857473999261856
