epoch,step,min,max,mean,std
1,10000,-0.012510597705841064,0.013019989244639874,0.0007521832594648004,0.003923475742340088
2,20000,-0.02779451757669449,0.02762249857187271,-0.0020056827925145626,0.008171209134161472
3,30000,-0.06377957761287689,0.056626178324222565,-0.000566075905226171,0.015628496184945107
4,40000,-0.21122784912586212,0.0577806755900383,-0.001240207813680172,0.027340393513441086
5,50000,-0.12665361166000366,0.13089123368263245,-0.0017783455550670624,0.0456177182495594
6,60000,-0.20765802264213562,0.2072838693857193,-0.003238474018871784,0.059670668095350266
7,70000,-0.31013962626457214,0.3813350200653076,-0.008065053261816502,0.10842399299144745
8,80000,-0.2502632737159729,0.19718019664287567,-0.005891068838536739,0.07397296279668808
