epoch,step,min,max,mean,std
1,10000,-0.01087860856205225,0.011776216328144073,7.599242962896824e-06,0.0003833788214251399
2,20000,-0.023210007697343826,0.02498924732208252,-2.100505844282452e-05,0.0008169449283741415
3,30000,-0.04658401012420654,0.04495746269822121,-1.3969656720291823e-05,0.0014663808979094028
4,40000,-0.12180152535438538,0.09371936321258545,-5.1653564696607646e-06,0.003020710777491331
5,50000,-0.09593759477138519,0.08983227610588074,-4.781490861205384e-05,0.003835752373561263
6,60000,-0.1984385848045349,0.194673091173172,-5.820056321681477e-05,0.005958443507552147
7,70000,-0.33599427342414856,0.30148079991340637,-7.736038969596848e-05,0.00953085720539093
8,80000,-0.18340888619422913,0.17734698951244354,-3.28630703734234e-05,0.007956001907587051
