epoch,step,min,max,mean,std
1,10000,-0.008370555005967617,0.007869674824178219,-5.923156550124986e-06,0.00039319429197348654
2,20000,-0.02687080018222332,0.03484379127621651,2.5253420972148888e-06,0.0010337301064282656
3,30000,-0.056612081825733185,0.05500444397330284,-7.4355511969770305e-06,0.0018224793020635843
4,40000,-0.0760381668806076,0.10480573028326035,1.1769293450925034e-05,0.002830284181982279
5,50000,-0.13898518681526184,0.12313492596149445,-1.8713661120273173e-05,0.004223893396556377
