epoch,step,min,max,mean,std
1,10000,-0.0022734005469828844,0.0023886673152446747,-1.494667594670318e-05,0.0003653594176284969
2,20000,-0.002376995049417019,0.0025260793045163155,1.634214277146384e-05,0.00040228571742773056
3,30000,-0.004740072414278984,0.004337384831160307,1.2192062968097162e-06,0.0006868548807688057
4,40000,-0.003873677458614111,0.003995860926806927,2.3963546482264064e-05,0.0006447952473536134
5,50000,-0.009752755053341389,0.009238390251994133,-0.0001753222313709557,0.0013982845703139901
