epoch,step,min,max,mean,std
1,10000,-0.005535310599952936,0.007291911169886589,6.274900670177885e-07,0.00035327443038113415
2,20000,-0.0171991977840662,0.020679723471403122,-2.471264906489523e-06,0.0007040896452963352
3,30000,-0.050984516739845276,0.04456516355276108,1.710982178337872e-05,0.0017024341505020857
4,40000,-0.07858933508396149,0.07367290556430817,2.055747427220922e-05,0.0027527897618710995
5,50000,-0.07352253794670105,0.12742692232131958,6.912711796758231e-06,0.0035774996504187584
6,60000,-0.1682841181755066,0.16771623492240906,1.2231289474584628e-05,0.005452959798276424
7,70000,-0.1554010510444641,0.23913496732711792,-7.031598215689883e-05,0.006795785389840603
8,80000,-0.19219425320625305,0.1397596299648285,4.62736607005354e-05,0.006698319688439369
