epoch,step,min,max,mean,std
1,10000,-0.0048864902928471565,0.005009491927921772,-5.1542887376854196e-05,0.0006285792333073914
2,20000,-0.01100348960608244,0.011301570571959019,-0.0001982410321943462,0.0015049920184537768
3,30000,-0.015645118430256844,0.020603246986865997,7.476211612811312e-05,0.0016603557160124183
4,40000,-0.022328242659568787,0.03293149545788765,0.0007312457892112434,0.003074326552450657
5,50000,-0.024281548336148262,0.0437498465180397,0.0009563838830217719,0.003828671993687749
